zip,place,county,state,lat,lng
90620,Buena Park,Orange,CA,33.84616,-118.01176
90621,Buena Park,Orange,CA,33.87396,-117.99346
90623,La Palma,Orange,CA,33.85038,-118.04088
90630,Cypress,Orange,CA,33.81814,-118.03814
90631,La Habra,Orange,CA,33.94266,-117.95126
90680,Stanton,Orange,CA,33.80115,-117.99532
90720,Los Alamitos,Orange,CA,33.79573,-118.06342
90740,Seal Beach,Orange,CA,33.75461,-118.07129
90742,Sunset Beach,Orange,CA,33.71834,-118.07174
90743,Surfside,Orange,CA,33.72963,-118.08594
92602,Irvine,Orange,CA,33.72645,-117.7287
92603,Irvine,Orange,CA,33.62927,-117.79408
92604,Irvine,Orange,CA,33.6879,-117.7889
92606,Irvine,Orange,CA,33.69849,-117.8123
92610,Foothill Ranch,Orange,CA,33.68336,-117.65404
92612,Irvine,Orange,CA,33.65984,-117.82457
92614,Irvine,Orange,CA,33.68173,-117.83316
92617,Irvine,Orange,CA,33.64197,-117.84103
92618,Irvine,Orange,CA,33.66729,-117.73362
92620,Irvine,Orange,CA,33.70661,-117.75695
92624,Capistrano Beach,Orange,CA,33.46082,-117.66656
92625,Corona Del Mar,Orange,CA,33.60229,-117.86551
92626,Costa Mesa,Orange,CA,33.67896,-117.90844
92627,Costa Mesa,Orange,CA,33.64786,-117.9205
92629,Dana Point,Orange,CA,33.47678,-117.70459
92630,Lake Forest,Orange,CA,33.64709,-117.68428
92637,Laguna Woods,Orange,CA,33.60796,-117.72799
92646,Huntington Beach,Orange,CA,33.66525,-117.96755
92647,Huntington Beach,Orange,CA,33.72395,-118.00685
92648,Huntington Beach,Orange,CA,33.68212,-118.0101
92649,Huntington Beach,Orange,CA,33.72037,-118.04423
92651,Laguna Beach,Orange,CA,33.56535,-117.77399
92653,Laguna Hills,Orange,CA,33.59276,-117.69994
92655,Midway City,Orange,CA,33.74606,-117.98765
92656,Aliso Viejo,Orange,CA,33.57518,-117.73036
92657,Newport Coast,Orange,CA,33.59571,-117.83069
92660,Newport Beach,Orange,CA,33.63375,-117.87504
92661,Newport Beach,Orange,CA,33.60231,-117.89872
92662,Newport Beach,Orange,CA,33.60547,-117.89218
92663,Newport Beach,Orange,CA,33.62328,-117.93022
92673,San Clemente,Orange,CA,33.46611,-117.61204
92675,San Juan Capistrano,Orange,CA,33.49977,-117.65366
92676,Silverado,Orange,CA,33.75306,-117.63534
92677,Laguna Niguel,Orange,CA,33.52777,-117.70523
92678,Trabuco Canyon,Orange,CA,33.64627,-117.50662
92679,Trabuco Canyon,Orange,CA,33.65274,-117.56048
92683,Westminster,Orange,CA,33.75242,-117.99383
92688,Rancho Santa Margarita,Orange,CA,33.61737,-117.61131
92691,Mission Viejo,Orange,CA,33.61051,-117.66627
92692,Mission Viejo,Orange,CA,33.60948,-117.64396
92694,Ladera Ranch,Orange,CA,33.51502,-117.58065
92697,Irvine,Orange,CA,33.65061,-117.85091
92701,Santa Ana,Orange,CA,33.7486,-117.85877
92703,Santa Ana,Orange,CA,33.74853,-117.90621
92704,Santa Ana,Orange,CA,33.72038,-117.90807
92705,Santa Ana,Orange,CA,33.755,-117.81488
92706,Santa Ana,Orange,CA,33.76602,-117.88174
92707,Santa Ana,Orange,CA,33.70991,-117.87045
92708,Fountain Valley,Orange,CA,33.71046,-117.95132
92780,Tustin,Orange,CA,33.73685,-117.81968
92782,Tustin,Orange,CA,33.72833,-117.79753
92801,Anaheim,Orange,CA,33.84441,-117.95175
92802,Anaheim,Orange,CA,33.80831,-117.9237
92804,Anaheim,Orange,CA,33.81801,-117.97517
92805,Anaheim,Orange,CA,33.83003,-117.90568
92806,Anaheim,Orange,CA,33.83884,-117.87054
92807,Anaheim,Orange,CA,33.85001,-117.78946
92808,Anaheim,Orange,CA,33.85623,-117.74018
92821,Brea,Orange,CA,33.92997,-117.86986
92823,Brea,Orange,CA,33.92536,-117.80024
92831,Fullerton,Orange,CA,33.8795,-117.89607
92832,Fullerton,Orange,CA,33.86871,-117.92914
92833,Fullerton,Orange,CA,33.88051,-117.96112
92835,Fullerton,Orange,CA,33.90171,-117.91529
92840,Garden Grove,Orange,CA,33.78584,-117.93202
92841,Garden Grove,Orange,CA,33.7868,-117.98207
92843,Garden Grove,Orange,CA,33.76399,-117.93153
92844,Garden Grove,Orange,CA,33.76561,-117.96952
92845,Garden Grove,Orange,CA,33.78292,-118.0264
92861,Villa Park,Orange,CA,33.81801,-117.81031
92865,Orange,Orange,CA,33.82887,-117.84925
92866,Orange,Orange,CA,33.78453,-117.84479
92867,Orange,Orange,CA,33.81443,-117.79617
92868,Orange,Orange,CA,33.78799,-117.87637
92869,Orange,Orange,CA,33.79479,-117.7621
92870,Placentia,Orange,CA,33.88087,-117.85522
92886,Yorba Linda,Orange,CA,33.89517,-117.80154
92887,Yorba Linda,Orange,CA,33.88727,-117.73389
